cycle,task,method,instances,features,classes,accuracy,f1,optimization_time,prediction_time,no_features,best_trial
0,3,baseline,3196,36,2,0.8821689259645464,0.8811683263207875,7.152557373046875e-07,0.1484968662261963,36,0
0,3,intercorrelation_filter,3196,36,2,0.8821689259645464,0.8811683263207875,0.029111385345458984,0.13820624351501465,36,0
0,3,correlation_weighting,3196,36,2,0.9322210636079249,0.9320363156236338,0.029111385345458984,0.14806056022644043,36,0
0,3,tree_based_filter,3196,36,2,0.7320125130344108,0.72393913428205,0.16605472564697266,0.12368106842041016,18,0
0,3,tree_based_weighting,3196,36,2,0.7288842544316997,0.7237291140362541,0.16605472564697266,0.14343667030334473,18,0
0,3,l1filter,3196,36,2,0.9124087591240876,0.9122323039510498,0.009678125381469727,0.13237500190734863,19,0
0,3,relieff,3196,36,2,0.8435870698644421,0.8419022288653448,0.26511645317077637,0.145371675491333,27,0
0,3,relieff_weighting,3196,36,2,0.8540145985401459,0.8528586583901032,0.26511645317077637,0.15191030502319336,27,0
0,3,forward_selection,3196,36,2,0.9280500521376434,0.9278841280999166,5.737165451049805,0.059446096420288086,4,0
0,3,backwards_selection,3196,36,2,0.886339937434828,0.8854184821629205,9.494930505752563,0.14035272598266602,34,0
0,3,stepwise_selection,3196,36,2,0.9009384775808134,0.9005226912649303,12.891417503356934,0.13855433464050293,21,0
0,3,bayesselection,3196,36,2,0.899895724713243,0.8994618395303327,83.57594108581543,0.1396491527557373,21,297
0,3,bayeswweighting,3196,36,2,0.9614181438998958,0.9614121019600081,233.84484004974365,0.14829111099243164,36,758
0,11,baseline,625,4,3,0.9042553191489362,0.622577519379845,4.76837158203125e-07,0.013088226318359375,4,0
0,11,intercorrelation_filter,625,4,3,0.9042553191489362,0.622577519379845,0.00323486328125,0.011823654174804688,4,0
0,11,correlation_weighting,625,4,3,0.9148936170212766,0.6301117685733071,0.00323486328125,0.013198614120483398,4,0
0,11,tree_based_filter,625,4,3,0.9042553191489362,0.622577519379845,0.10950517654418945,0.012202024459838867,4,0
0,11,tree_based_weighting,625,4,3,0.9042553191489362,0.622577519379845,0.10950517654418945,0.012916803359985352,4,0
0,11,l1filter,625,4,3,0.9042553191489362,0.622577519379845,0.0025441646575927734,0.01196599006652832,4,0
0,11,relieff,625,4,3,0.7606382978723404,0.5237749838813669,0.024123668670654297,0.011320352554321289,3,0
0,11,relieff_weighting,625,4,3,0.7925531914893617,0.5454139383787625,0.024123668670654297,0.012021303176879883,3,0
0,11,forward_selection,625,4,3,0.9042553191489362,0.622577519379845,0.20444035530090332,0.011361122131347656,4,0
0,11,backwards_selection,625,4,3,0.7819148936170213,0.5384615384615384,0.07045984268188477,0.0113067626953125,3,0
0,11,stepwise_selection,625,4,3,0.9042553191489362,0.622577519379845,0.040349721908569336,0.01102590560913086,4,0
0,11,bayesselection,625,4,3,0.9042553191489362,0.622577519379845,1.4966704845428467,0.011535167694091797,4,8
0,11,bayeswweighting,625,4,3,0.9202127659574468,0.6334741684144402,4.055785179138184,0.012408256530761719,4,66
0,14,baseline,2000,76,10,0.775,0.7644207747855383,4.76837158203125e-07,0.07489562034606934,76,0
0,14,intercorrelation_filter,2000,76,10,0.775,0.7644207747855383,0.08132791519165039,0.06673884391784668,76,0
0,14,correlation_weighting,2000,76,10,0.7933333333333333,0.7791740454484288,0.08132791519165039,0.12045407295227051,76,0
0,14,tree_based_filter,2000,76,10,0.72,0.7051615982803076,0.619910478591919,0.07553601264953613,38,0
0,14,tree_based_weighting,2000,76,10,0.7566666666666667,0.7490589518013157,0.619910478591919,0.11696624755859375,38,0
0,14,l1filter,2000,76,10,0.8,0.787416218914873,0.05230140686035156,0.07622265815734863,44,0
0,14,relieff,2000,76,10,0.7883333333333333,0.7791355897887534,0.2641124725341797,0.0846107006072998,57,0
0,14,relieff_weighting,2000,76,10,0.10166666666666667,0.01845688350983359,0.2641124725341797,0.10560894012451172,57,0
0,14,forward_selection,2000,76,10,0.78,0.7706533308890485,12.674439191818237,0.026294946670532227,8,0
0,14,backwards_selection,2000,76,10,0.7733333333333333,0.7607253924355644,12.519735097885132,0.07837080955505371,74,0
0,14,stepwise_selection,2000,76,10,0.7466666666666667,0.7375472685524421,28.234001636505127,0.07840657234191895,40,0
0,14,bayesselection,2000,76,10,0.7683333333333333,0.7566360180104302,126.8529155254364,0.07056355476379395,38,297
0,14,bayeswweighting,2000,76,10,0.7933333333333333,0.7844438002897769,373.2073538303375,0.11290526390075684,76,809
0,15,baseline,683,9,2,0.9609756097560975,0.9553084804883366,7.152557373046875e-07,0.01307821273803711,9,0
0,15,intercorrelation_filter,683,9,2,0.9609756097560975,0.9553084804883366,0.004881620407104492,0.012226343154907227,8,0
0,15,correlation_weighting,683,9,2,0.9609756097560975,0.9553084804883366,0.004881620407104492,0.0144500732421875,8,0
0,15,tree_based_filter,683,9,2,0.9658536585365853,0.960737639880708,0.10392904281616211,0.012217521667480469,5,0
0,15,tree_based_weighting,683,9,2,0.9512195121951219,0.9441356006104207,0.10392904281616211,0.013354778289794922,5,0
0,15,l1filter,683,9,2,0.9560975609756097,0.9499199261692136,0.003092527389526367,0.011946678161621094,8,0
0,15,relieff,683,9,2,0.9560975609756097,0.9499199261692136,0.027249813079833984,0.012012481689453125,6,0
0,15,relieff_weighting,683,9,2,0.9512195121951219,0.9445706251351937,0.027249813079833984,0.013504266738891602,6,0
0,15,forward_selection,683,9,2,0.9463414634146341,0.9387910208734833,0.2522757053375244,0.011387825012207031,2,0
